"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply","1997",364,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","1997",9478,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): C. Mining and quarrying","1997",136,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","1997",228,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","1997",2147,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): L. Public administration and defence; compulsory social security","1997",5313,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): N. Health and social work","1997",1523,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): O. Other community, social and personal service activities","1997",131,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","1996",15362,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","1996",15362,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Manufacturing","1996",85,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","1996",15362,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): D. Manufacturing","1996",85,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","1996",1480,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): L. Public administration and defence; compulsory social security","1996",3427,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): N. Health and social work","1996",270,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Q. Extraterritorial organizations and bodies","1996",10100,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","1995",10887,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","1995",10887,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Manufacturing","1995",295,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Construction","1995",25,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","1995",10887,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): D. Manufacturing","1995",295,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","1995",531,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): F. Construction","1995",25,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","1995",478,,,,"Geographical coverage: Main city or metropolitan area"
