"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): N. Health and social work","1998",0.405,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): O. Other community, social and personal service activities","1998",0.015,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1997",3.856,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1997",3.856,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply","1997",0.129,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): Total","1997",3.856,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): C. Mining and quarrying","1997",0.068,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","1997",0.061,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","1997",0.864,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): L. Public administration and defence; compulsory social security","1997",2.032,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): N. Health and social work","1997",0.585,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): O. Other community, social and personal service activities","1997",0.246,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1996",19.917,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): X - Not elsewhere classified","1996",14.3,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1996",19.917,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Manufacturing","1996",0.068,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): X - Not elsewhere classified","1996",14.3,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): Total","1996",19.917,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): D. Manufacturing","1996",0.068,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","1996",1.101,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): L. Public administration and defence; compulsory social security","1996",4.048,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): N. Health and social work","1996",0.4,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","1996",14.3,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1995",7.018,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): X - Not elsewhere classified","1995",3.07,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1995",7.018,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Manufacturing","1995",0.1,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Construction","1995",0.05,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): X - Not elsewhere classified","1995",3.07,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): Total","1995",7.018,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): D. Manufacturing","1995",0.1,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","1995",0.556,,,,"Geographical coverage: Main city or metropolitan area"
